"LYON ST EXUPERY, FR (FR069029001)"
Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches)
1934-04-17,,74,51,0.00,,
1934-04-18,,71,53,0.00,,
1934-04-19,,68,52,0.02,,
1934-04-20,,61,48,0.31,,
1934-04-21,,62,39,0.74,,
1934-04-22,,49,42,0.66,,
1934-04-23,,53,44,0.28,,
1934-04-24,,55,44,0.01,,
1934-04-25,,60,40,0.00,,
1934-04-26,,65,45,0.00,,
1934-04-27,,55,39,1.16,,
1934-04-28,,55,41,0.07,,
1934-04-29,,61,39,0.08,,
1934-04-30,,65,48,0.02,,
1934-05-01,,65,51,0.13,,
1934-05-02,,67,42,0.00,,
1934-05-03,,63,52,0.32,,
1934-05-04,,55,53,0.24,,
1934-05-05,,65,50,0.00,,
1934-05-06,,69,46,0.00,,
1934-05-07,,70,47,0.04,,
1934-05-08,,62,43,0.00,,
1934-05-09,,66,47,0.00,,
1934-05-10,,64,46,0.04,,
1934-05-11,,75,44,0.00,,
1934-05-12,,82,52,,,
1934-05-13,,79,53,,,
1934-05-14,,73,52,,,
1934-05-15,,62,49,,,
1934-05-16,,76,40,,,
1934-05-17,,59,52,,,
1934-05-18,,67,45,,,
1934-05-19,,74,43,,,
1934-05-20,,73,47,,,
1934-05-21,,71,50,,,
1934-05-22,,76,49,,,
1934-05-23,,76,54,,,
1934-05-24,,76,55,,,
1934-05-25,,75,49,,,
1934-05-26,,71,50,,,
1934-05-27,,68,45,,,
1934-05-28,,73,43,,,
1934-05-29,,78,47,,,
1934-05-30,,76,47,,,
1934-05-31,,75,61,,,
1934-06-01,,80,61,0.21,,
1934-06-02,,70,54,0.13,,
1934-06-03,,70,55,0.00,,
1934-06-04,,69,53,0.15,,
1934-06-05,,68,55,0.00,,
1934-06-06,,68,45,0.00,,
1934-06-07,,67,53,0.00,,
1934-06-08,,74,44,0.00,,
1934-06-09,,79,49,0.00,,
1934-06-10,,79,51,0.00,,
1934-06-11,,80,50,0.00,,
1934-06-12,,77,54,0.00,,
1934-06-13,,78,48,0.00,,
1934-06-14,,81,50,0.00,,
1934-06-15,,78,58,0.00,,
1934-06-16,,82,54,0.00,,
1934-06-17,,88,50,0.00,,
1934-06-18,,89,57,0.00,,
1934-06-19,,90,61,0.46,,
1934-06-20,,70,63,0.04,,
1934-06-21,,72,56,0.00,,
1934-06-22,,80,54,0.00,,
1934-06-23,,86,54,0.00,,
1934-06-24,,85,59,0.02,,
1934-06-25,,83,62,0.19,,
1934-06-26,,73,61,0.00,,
1934-06-27,,81,54,0.00,,
1934-06-28,,76,57,0.02,,
1934-06-29,,61,53,0.77,,
1934-06-30,,81,54,0.10,,
1934-07-01,,84,62,0.00,,
1934-07-02,,83,62,0.00,,
1934-07-03,,84,61,0.00,,
1934-07-04,,78,57,0.00,,
1934-07-05,,82,54,0.00,,
1934-07-06,,90,60,0.00,,
1934-07-07,,91,64,0.00,,
1934-07-08,,93,61,0.00,,
1934-07-09,,95,62,0.00,,
1934-07-10,,95,66,0.00,,
1934-07-11,,96,64,0.01,,
1934-07-12,,84,69,0.07,,
1934-07-13,,79,63,0.00,,
1934-07-14,,78,63,0.00,,
1934-07-15,,74,61,0.00,,
1934-07-16,,80,55,0.00,,
1934-07-17,,89,56,0.00,,
1934-07-18,,95,58,0.00,,
1934-07-19,,85,62,0.00,,
1934-07-20,,94,57,0.00,,
1934-07-21,,84,67,1.02,,
1934-07-22,,75,63,0.38,,
1934-07-23,,74,59,0.02,,
1934-07-24,,81,62,0.04,,
1934-07-25,,72,60,0.06,,
1934-07-26,,78,54,0.00,,
1934-07-27,,81,61,,,
1934-07-28,,77,59,,,
1934-07-29,,84,55,,,
1934-07-30,,90,57,,,
1934-07-31,,80,67,,,
1934-08-01,,78,63,0.00,,
1934-08-02,,73,63,1.15,,
1934-08-03,,68,59,0.45,,
1934-08-04,,68,57,0.19,,
1934-08-05,,75,52,0.00,,
1934-08-06,,80,56,0.04,,
1934-08-07,,73,60,0.07,,
1934-08-08,,75,56,0.00,,
1934-08-09,,74,55,0.07,,
1934-08-10,,76,61,0.00,,
1934-08-11,,76,59,0.00,,
1934-08-12,,70,58,0.00,,
1934-08-13,,70,53,0.00,,
1934-08-14,,66,55,0.00,,
1934-08-15,,69,54,0.00,,
1934-08-16,,80,49,0.00,,
1934-08-17,,83,51,0.00,,
1934-08-18,,82,51,0.00,,
1934-08-19,,86,53,0.00,,
1934-08-20,,86,56,0.00,,
1934-08-21,,82,57,0.00,,
1934-08-22,,87,60,0.00,,
1934-08-23,,86,53,0.52,,
1934-08-24,,75,55,0.00,,
1934-08-25,,74,52,0.02,,
1934-08-26,,65,59,0.03,,
1934-08-27,,70,59,0.00,,
1934-08-28,,79,54,0.01,,
1934-08-29,,64,55,0.38,,
1934-08-30,,72,52,0.07,,
1934-08-31,,67,53,0.05,,
1934-09-01,,57,45,0.07,,
1934-09-02,,68,42,0.00,,
1934-09-03,,75,43,0.00,,
1934-09-04,,83,52,0.00,,
1934-09-05,,78,54,0.04,,
1934-09-06,,85,57,0.00,,
1934-09-07,,86,61,0.00,,
1934-09-08,,88,62,0.00,,
1934-09-09,,79,64,0.15,,
1934-09-10,,74,57,0.00,,
1934-09-11,,69,51,0.00,,
1934-09-12,,75,53,0.00,,
1934-09-13,,80,50,0.00,,
1934-09-14,,81,55,0.00,,
1934-09-15,,83,56,0.00,,
1934-09-16,,74,56,0.04,,
1934-09-17,,82,54,0.00,,
1934-09-18,,83,56,0.17,,
1934-09-19,,64,60,0.09,,
1934-09-20,,69,48,0.04,,
1934-09-21,,69,54,0.00,,
1934-09-22,,71,50,,,
1934-09-23,,76,51,0.00,,
1934-09-24,,80,52,,,
1934-09-25,,73,52,,,
1934-09-26,,81,49,,,
1934-09-27,,83,54,,,
1934-09-28,,82,54,,,
1934-09-29,,82,56,,,
1934-09-30,,82,50,,,
1934-10-01,,82,49,0.00,,
1934-10-02,,78,54,0.29,,
1934-10-03,,69,59,0.00,,
1934-10-04,,71,60,0.46,,
1934-10-05,,68,54,0.00,,
1934-10-06,,62,50,0.00,,
1934-10-07,,63,50,0.00,,
1934-10-08,,64,40,0.00,,
1934-10-09,,60,39,0.04,,
1934-10-10,,58,47,0.00,,
1934-10-11,,64,44,0.00,,
1934-10-12,,64,48,0.00,,
1934-10-13,,65,45,0.00,,
1934-10-14,,57,49,0.00,,
1934-10-15,,59,,0.22,,
1934-10-16,,,35,0.12,,
1934-10-17,,50,39,0.04,,
1934-10-18,,51,42,0.00,,
1934-10-19,,57,34,0.00,,
1934-10-20,,58,48,0.00,,
1934-10-21,,61,41,0.00,,
1934-10-22,,64,32,0.00,,
1934-10-23,,64,40,0.00,,
1934-10-24,,68,41,0.00,,
1934-10-25,,70,52,0.00,,
1934-10-26,,71,43,0.00,,
1934-10-27,,71,46,0.00,,
1934-10-28,,62,39,0.01,,
1934-10-29,,54,48,0.00,,
1934-10-30,,60,43,0.06,,
1934-10-31,,59,,0.20,,
1934-11-01,,,36,,,
1934-11-02,,46,25,0.00,,
1934-11-03,,45,31,0.20,,
1934-11-04,,63,36,0.02,,
1934-11-05,,62,48,1.31,,
1934-11-06,,50,46,1.18,,
1934-11-07,,51,42,0.50,,
1934-11-08,,48,45,0.00,,
1934-11-09,,56,32,0.00,,
1934-11-10,,58,49,1.57,,
1934-11-11,,50,33,0.00,,
1934-11-12,,51,31,0.00,,
1934-11-13,,51,34,0.40,,
1934-11-14,,53,39,0.85,,
1934-11-15,,47,42,0.16,,
1934-11-16,,48,32,0.00,,
1934-11-17,,59,42,0.00,,
1934-11-18,,49,38,0.01,,
1934-11-19,,47,42,0.00,,
1934-11-20,,43,38,0.00,,
1934-11-21,,37,33,0.00,,
1934-11-22,,38,32,0.01,,
1934-11-23,,33,20,0.00,,
1934-11-24,,31,29,,,
1934-11-25,,35,29,,,
1934-11-26,,35,33,,,
1934-11-27,,37,33,,,
1934-11-28,,37,29,,,
1934-11-29,,35,31,,,
1934-11-30,,30,28,,,
1934-12-01,,34,28,0.00,,
1934-12-02,,50,29,0.11,,
1934-12-03,,53,43,0.15,,
1934-12-04,,59,43,0.00,,
1934-12-05,,61,45,0.00,,
1934-12-06,,56,39,0.00,,
1934-12-07,,53,45,0.01,,
1934-12-08,,52,34,0.00,,
1934-12-09,,58,37,0.00,,
1934-12-10,,56,,0.28,,
1934-12-11,,,39,0.10,,
1934-12-12,,53,38,0.58,,
1934-12-13,,50,41,0.00,,
1934-12-14,,56,42,0.19,,
1934-12-15,,51,49,0.02,,
1934-12-16,,47,39,0.23,,
1934-12-17,,51,42,0.03,,
1934-12-18,,50,42,0.37,,
1934-12-19,,55,41,0.00,,
1934-12-20,,49,42,0.18,,
1934-12-21,,49,43,0.00,,
1934-12-22,,44,38,0.00,,
1934-12-23,,47,36,0.00,,
1934-12-24,,45,37,0.09,,
1934-12-25,,54,36,0.00,,
1934-12-26,,52,33,0.25,,
1934-12-27,,53,42,0.00,,
1934-12-28,,54,33,0.00,,
1934-12-29,,51,48,0.13,,
1934-12-30,,49,38,0.00,,
1934-12-31,,44,31,0.24,,
1935-01-01,,47,40,1.25,,
1935-01-02,,47,41,0.00,,
1935-01-03,,42,36,0.00,,
1935-01-04,,44,35,0.09,,
1935-01-05,,42,38,0.00,,
1935-01-06,,40,33,0.00,,
1935-01-07,,37,30,0.00,,
1935-01-08,,36,27,0.07,,
1935-01-09,,31,26,0.00,,
1935-01-10,,29,26,0.00,,
1935-01-11,,28,23,0.00,,
1935-01-12,,33,17,0.17,,
1935-01-13,,35,20,0.00,,
1935-01-14,,39,26,0.05,,
1935-01-15,,40,32,0.00,,
1935-01-16,,42,32,0.00,,
1935-01-17,,35,32,0.00,,
1935-01-18,,38,32,0.00,,
1935-01-19,,32,27,0.00,,
1935-01-20,,31,28,0.00,,
1935-01-21,,33,23,0.00,,
1935-01-22,,37,21,0.00,,
1935-01-23,,35,28,0.02,,
1935-01-24,,32,26,0.00,,
1935-01-25,,43,29,0.04,,
1935-01-26,,42,35,0.10,,
1935-01-27,,35,31,0.01,,
1935-01-28,,32,27,0.00,,
1935-01-29,,31,27,0.00,,
1935-01-30,,32,26,0.00,,
1935-01-31,,33,23,0.06,,
1935-02-01,,34,28,0.36,,
1935-02-02,,38,32,0.02,,
1935-02-03,,50,35,0.00,,
1935-02-04,,47,38,0.00,,
1935-02-05,,50,39,0.05,,
1935-02-06,,47,35,0.02,,
1935-02-07,,36,,0.21,,
1935-02-08,,,24,0.00,,
1935-02-09,,28,20,0.00,,
1935-02-10,,29,18,0.00,,
1935-02-11,,30,18,0.00,,
1935-02-12,,40,26,0.00,,
1935-02-13,,42,31,0.65,,
1935-02-14,,50,37,0.10,,
1935-02-15,,52,34,0.00,,
1935-02-16,,64,39,0.09,,
1935-02-17,,53,39,0.00,,
1935-02-18,,51,33,0.00,,
1935-02-19,,60,29,0.00,,
1935-02-20,,57,40,0.00,,
1935-02-21,,53,49,0.02,,
1935-02-22,,55,45,0.06,,
1935-02-23,,53,45,0.05,,
1935-02-24,,52,42,0.00,,
1935-02-25,,54,43,0.13,,
1935-02-26,,47,40,0.13,,
1935-02-27,,47,37,0.00,,
1935-02-28,,51,38,0.15,,
1935-03-01,,46,39,0.37,,
1935-03-02,,47,35,0.00,,
1935-03-03,,50,39,0.22,,
1935-03-04,,48,41,0.21,,
1935-03-05,,44,34,0.02,,
1935-03-06,,41,28,0.00,,
1935-03-07,,40,32,0.10,,
1935-03-08,,37,26,0.00,,
1935-03-09,,35,22,0.00,,
1935-03-10,,41,28,0.29,,
1935-03-11,,43,36,0.00,,
1935-03-12,,47,29,0.00,,
1935-03-13,,49,26,0.00,,
1935-03-14,,54,28,0.00,,
1935-03-15,,58,29,0.00,,
1935-03-16,,53,45,0.03,,
1935-03-17,,54,43,0.04,,
1935-03-18,,53,42,0.00,,
1935-03-19,,63,39,0.00,,
1935-03-20,,67,42,0.00,,
1935-03-21,,67,38,0.00,,
1935-03-22,,66,36,0.23,,
1935-03-23,,58,47,0.00,,
1935-03-24,,51,45,,,
1935-03-25,,59,42,,,
1935-03-26,,63,35,,,
1935-03-27,,69,39,,,
1935-03-28,,60,40,,,
1935-03-29,,60,40,,,
1935-03-30,,49,33,,,
1935-03-31,,50,29,,,
1935-04-01,,62,33,0.02,,
1935-04-02,,50,41,0.09,,
1935-04-03,,43,34,0.07,,
1935-04-04,,44,33,0.00,,
1935-04-05,,46,38,0.00,,
1935-04-06,,51,35,0.00,,
1935-04-07,,63,40,0.06,,
1935-04-08,,61,46,0.13,,
1935-04-09,,68,52,0.00,,
1935-04-10,,77,45,0.00,,
1935-04-11,,73,51,0.00,,
1935-04-12,,69,,0.10,,
1935-04-13,,,44,0.22,,
1935-04-14,,57,41,0.16,,
1935-04-15,,59,42,0.02,,
1935-04-16,,58,39,1.35,,
1935-04-17,,56,38,0.03,,
1935-04-18,,53,40,0.08,,
1935-04-19,,63,37,0.00,,
1935-04-20,,67,47,0.00,,
1935-04-21,,61,49,0.60,,
1935-04-22,,64,38,0.08,,
1935-04-23,,57,45,0.41,,
1935-04-24,,51,43,0.46,,
1935-04-25,,49,46,0.16,,
1935-04-26,,52,42,0.02,,
1935-04-27,,54,46,0.04,,
1935-04-28,,57,40,0.00,,
1935-04-29,,56,45,,,
1935-04-30,,55,40,,,
1935-05-01,,58,39,0.00,,
1935-05-02,,60,34,0.00,,
1935-05-03,,66,34,0.00,,
1935-05-04,,68,52,0.00,,
1935-05-05,,67,49,0.20,,
1935-05-06,,69,51,0.00,,
1935-05-07,,67,49,0.00,,
1935-05-08,,61,50,0.00,,
1935-05-09,,63,42,0.07,,
1935-05-10,,71,51,0.05,,
1935-05-11,,71,52,0.00,,
1935-05-12,,68,53,0.00,,
1935-05-13,,62,44,0.00,,
1935-05-14,,65,39,0.00,,
1935-05-15,,55,45,0.00,,
1935-05-16,,54,36,0.00,,
1935-05-17,,55,34,0.01,,
1935-05-18,,55,35,0.13,,
1935-05-19,,57,37,0.00,,
1935-05-20,,66,33,0.00,,
1935-05-21,,69,43,0.00,,
1935-05-22,,71,47,0.00,,
1935-05-23,,64,53,0.07,,
1935-05-24,,74,54,0.20,,
1935-05-25,,72,51,0.04,,
1935-05-26,,71,52,0.06,,
1935-05-27,,62,52,0.52,,
1935-05-28,,72,54,0.03,,
1935-05-29,,70,48,0.00,,
1935-05-30,,69,53,,,
1935-05-31,,68,56,,,
1935-06-01,,70,51,0.00,,
1935-06-02,,75,54,0.17,,
1935-06-03,,69,57,0.22,,
1935-06-04,,70,48,1.09,,
1935-06-05,,72,54,0.00,,
1935-06-06,,72,49,0.00,,
1935-06-07,,80,47,0.00,,
1935-06-08,,84,51,0.00,,
1935-06-09,,85,59,0.00,,
1935-06-10,,84,54,0.00,,
1935-06-11,,78,62,0.65,,
1935-06-12,,70,45,0.00,,
1935-06-13,,81,48,0.00,,
1935-06-14,,83,56,0.00,,
1935-06-15,,67,57,0.06,,
1935-06-16,,70,46,0.01,,
1935-06-17,,72,54,0.00,,
1935-06-18,,76,52,,,
1935-06-19,,74,56,,,
1935-06-20,,74,56,,,
1935-06-21,,83,57,,,
1935-06-22,,85,61,,,
1935-06-23,,83,61,,,
1935-06-24,,85,58,,,
1935-06-25,,88,63,,,
1935-06-26,,90,65,,,
1935-06-27,,93,64,,,
1935-06-28,,91,63,,,
1935-06-29,,91,66,,,
1935-06-30,,97,63,,,
1935-07-01,,94,65,0.00,,
1935-07-02,,80,66,0.00,,
1935-07-03,,80,59,0.00,,
1935-07-04,,78,58,0.00,,
1935-07-05,,82,61,0.00,,
1935-07-06,,85,59,0.00,,
1935-07-07,,79,57,0.00,,
1935-07-08,,83,51,0.00,,
1935-07-09,,77,55,0.61,,
1935-07-10,,77,60,0.00,,
1935-07-11,,85,59,0.00,,
1935-07-12,,90,61,0.00,,
1935-07-13,,89,64,0.00,,
1935-07-14,,86,61,0.00,,
1935-07-15,,88,63,0.00,,
1935-07-16,,89,58,0.00,,
1935-07-17,,90,62,0.00,,
1935-07-18,,85,64,0.11,,
1935-07-19,,83,63,0.00,,
1935-07-20,,82,61,0.00,,
1935-07-21,,74,56,0.00,,
1935-07-22,,79,53,0.00,,
1935-07-23,,84,53,0.00,,
1935-07-24,,91,57,0.00,,
1935-07-25,,93,62,0.00,,
1935-07-26,,81,63,0.48,,
1935-07-27,,85,61,0.00,,
1935-07-28,,88,57,,,
1935-07-29,,80,62,,,
1935-07-30,,73,62,,,
1935-07-31,,77,48,,,
1935-08-01,,87,49,0.26,,
1935-08-02,,76,62,0.08,,
1935-08-03,,78,55,0.00,,
1935-08-04,,76,58,0.00,,
1935-08-05,,78,59,0.00,,
1935-08-06,,85,58,0.00,,
1935-08-07,,89,58,0.00,,
1935-08-08,,92,60,0.00,,
1935-08-09,,89,68,0.00,,
1935-08-10,,85,64,0.00,,
1935-08-11,,91,59,0.00,,
1935-08-12,,88,64,0.79,,
1935-08-13,,73,,0.32,,
1935-08-14,,,55,0.00,,
1935-08-15,,72,46,0.00,,
1935-08-16,,77,50,0.00,,
1935-08-17,,81,52,0.00,,
1935-08-18,,84,60,0.06,,
1935-08-19,,79,62,0.00,,
1935-08-20,,81,59,0.00,,
1935-08-21,,86,55,0.00,,
1935-08-22,,89,58,0.00,,
1935-08-23,,85,67,0.22,,
1935-08-24,,69,60,0.28,,
1935-08-25,,69,58,0.90,,
1935-08-26,,68,58,0.77,,
1935-08-27,,72,55,0.20,,
1935-08-28,,63,55,0.61,,
1935-08-29,,69,51,0.17,,
1935-08-30,,70,49,0.00,,
1935-08-31,,81,51,,,
1935-09-01,,80,58,0.00,,
1935-09-02,,84,60,0.03,,
1935-09-03,,80,62,1.24,,
1935-09-04,,77,59,0.00,,
1935-09-05,,75,60,0.00,,
1935-09-06,,73,58,0.00,,
1935-09-07,,71,54,0.00,,
1935-09-08,,70,46,0.00,,
1935-09-09,,72,45,0.01,,
1935-09-10,,67,55,0.00,,
1935-09-11,,74,45,0.00,,
1935-09-12,,73,60,0.00,,
1935-09-13,,79,58,0.00,,
1935-09-14,,80,55,0.04,,
1935-09-15,,76,59,0.53,,
1935-09-16,,69,52,0.00,,
1935-09-17,,65,55,0.11,,
1935-09-18,,65,45,0.00,,
1935-09-19,,72,43,0.00,,
1935-09-20,,78,54,0.00,,
1935-09-21,,84,54,0.00,,
1935-09-22,,79,55,0.00,,
1935-09-23,,68,54,0.00,,
1935-09-24,,66,51,0.03,,
1935-09-25,,69,46,0.12,,
1935-09-26,,63,46,0.00,,
1935-09-27,,68,39,0.04,,
1935-09-28,,78,41,0.00,,
1935-09-29,,76,62,0.06,,
1935-09-30,,70,58,1.79,,
1935-10-01,,57,53,0.28,,
1935-10-02,,62,47,0.00,,
1935-10-03,,65,52,3.82,,
1935-10-04,,62,54,2.68,,
1935-10-05,,70,45,0.00,,
1935-10-06,,65,45,0.00,,
1935-10-07,,63,42,0.00,,
1935-10-08,,64,49,0.11,,
1935-10-09,,65,49,0.00,,
1935-10-10,,71,50,0.00,,
1935-10-11,,63,52,0.29,,
1935-10-12,,54,50,0.37,,
1935-10-13,,54,49,0.05,,
1935-10-14,,53,50,0.91,,
1935-10-15,,53,49,0.00,,
1935-10-16,,59,49,0.00,,
1935-10-17,,60,45,0.00,,
1935-10-18,,61,45,0.00,,
1935-10-19,,66,36,0.20,,
1935-10-20,,48,45,0.15,,
1935-10-21,,45,34,0.06,,
1935-10-22,,46,39,0.00,,
1935-10-23,,47,39,0.00,,
1935-10-24,,47,39,0.00,,
1935-10-25,,43,35,0.03,,
1935-10-26,,47,37,0.00,,
1935-10-27,,46,31,0.06,,
1935-10-28,,57,43,0.71,,
1935-10-29,,58,51,0.00,,
1935-10-30,,62,48,,,
1935-10-31,,62,37,,,
1935-11-01,,65,53,0.00,,
1935-11-02,,67,40,0.00,,
1935-11-03,,62,42,0.00,,
1935-11-04,,61,49,0.62,,
1935-11-05,,53,44,0.22,,
1935-11-06,,54,44,0.00,,
1935-11-07,,59,36,1.79,,
1935-11-08,,45,44,1.51,,
1935-11-09,,54,33,0.09,,
1935-11-10,,53,48,0.62,,
1935-11-11,,51,47,0.17,,
1935-11-12,,54,43,0.16,,
1935-11-13,,55,46,0.00,,
1935-11-14,,51,36,0.08,,
1935-11-15,,61,34,0.12,,
1935-11-16,,57,47,0.45,,
1935-11-17,,52,44,0.06,,
1935-11-18,,52,40,0.06,,
1935-11-19,,53,33,0.00,,
1935-11-20,,58,47,0.59,,
1935-11-21,,52,39,0.00,,
1935-11-22,,43,38,0.00,,
1935-11-23,,42,36,0.00,,
1935-11-24,,40,36,0.04,,
1935-11-25,,40,29,0.00,,
1935-11-26,,35,26,0.00,,
1935-11-27,,37,28,0.01,,
1935-11-28,,45,32,0.24,,
1935-11-29,,52,42,0.28,,
1935-11-30,,54,46,0.16,,
1935-12-01,,60,45,0.29,,
1935-12-02,,50,44,0.01,,
1935-12-03,,50,38,0.12,,
1935-12-04,,43,37,0.11,,
1935-12-05,,44,35,0.03,,
1935-12-06,,40,,0.00,,
1935-12-07,,,26,0.00,,
1935-12-08,,38,27,0.52,,
1935-12-09,,41,33,0.22,,
1935-12-10,,34,29,0.00,,
1935-12-11,,34,27,0.00,,
1935-12-12,,36,31,0.00,,
1935-12-13,,29,26,0.00,,
1935-12-14,,29,25,0.00,,
1935-12-15,,33,26,0.00,,
1935-12-16,,40,28,0.09,,
1935-12-17,,49,35,0.18,,
1935-12-18,,42,35,0.06,,
1935-12-19,,41,29,0.23,,
1935-12-20,,37,,0.00,,
1935-12-21,,,25,0.00,,
1935-12-22,,40,19,0.16,,
1935-12-23,,45,27,0.57,,
1935-12-24,,55,36,0.39,,
1935-12-25,,59,45,0.02,,
1935-12-26,,59,48,0.73,,
1935-12-27,,59,36,0.00,,
1935-12-28,,60,43,1.16,,
1935-12-29,,54,40,0.00,,
1935-12-30,,51,34,0.18,,
1935-12-31,,53,42,0.00,,
1936-01-01,,51,41,0.72,,
1936-01-02,,52,39,0.02,,
1936-01-03,,55,48,0.16,,
1936-01-04,,48,41,0.08,,
1936-01-05,,48,31,0.00,,
1936-01-06,,49,42,0.01,,
1936-01-07,,49,38,0.36,,
1936-01-08,,50,31,0.15,,
1936-01-09,,54,40,0.08,,
1936-01-10,,57,48,0.07,,
1936-01-11,,55,48,0.00,,
1936-01-12,,62,41,0.00,,
1936-01-13,,52,37,0.00,,
1936-01-14,,49,43,0.00,,
1936-01-15,,43,34,0.00,,
1936-01-16,,53,32,0.01,,
1936-01-17,,53,43,0.12,,
1936-01-18,,44,30,0.00,,
1936-01-19,,54,29,0.05,,
1936-01-20,,56,51,0.13,,
1936-01-21,,51,38,0.00,,
1936-01-22,,46,38,0.19,,
1936-01-23,,49,35,0.00,,
1936-01-24,,55,29,0.00,,
1936-01-25,,61,47,0.00,,
1936-01-26,,52,46,0.13,,
1936-01-27,,54,37,0.08,,
1936-01-28,,51,34,0.00,,
1936-01-29,,51,42,0.26,,
1936-01-30,,47,41,0.18,,
1936-01-31,,49,40,0.47,,
1936-02-01,,54,42,0.15,,
1936-02-02,,49,43,0.11,,
1936-02-03,,49,36,0.01,,
1936-02-04,,37,31,0.00,,
1936-02-05,,40,30,0.00,,
1936-02-06,,39,25,0.00,,
1936-02-07,,38,25,0.00,,
1936-02-08,,40,22,0.00,,
1936-02-09,,48,27,0.07,,
1936-02-10,,37,34,0.14,,
1936-02-11,,41,24,0.38,,
1936-02-12,,49,33,0.03,,
1936-02-13,,49,36,0.00,,
1936-02-14,,57,35,0.05,,
1936-02-15,,48,42,0.40,,
1936-02-16,,58,43,0.35,,
1936-02-17,,51,45,0.43,,
1936-02-18,,56,40,0.89,,
1936-02-19,,62,44,0.00,,
1936-02-20,,59,39,0.00,,
1936-02-21,,57,33,0.06,,
1936-02-22,,56,45,0.71,,
1936-02-23,,53,42,0.06,,
1936-02-24,,49,38,0.00,,
1936-02-25,,49,28,0.00,,
1936-02-26,,41,33,0.00,,
1936-02-27,,48,29,0.06,,
1936-02-28,,47,30,0.00,,
1936-02-29,,51,36,,,
1936-03-01,,50,38,0.07,,
1936-03-02,,54,28,0.00,,
1936-03-03,,56,39,0.21,,
1936-03-04,,47,38,0.02,,
1936-03-05,,40,38,0.16,,
1936-03-06,,47,35,0.02,,
1936-03-07,,47,33,0.00,,
1936-03-08,,58,29,0.00,,
1936-03-09,,58,39,0.00,,
1936-03-10,,65,43,0.00,,
1936-03-11,,57,39,0.00,,
1936-03-12,,53,41,0.00,,
1936-03-13,,45,40,0.00,,
1936-03-14,,48,35,0.00,,
1936-03-15,,51,30,0.00,,
1936-03-16,,46,34,0.00,,
1936-03-17,,49,28,0.00,,
1936-03-18,,59,27,0.00,,
1936-03-19,,62,41,0.00,,
1936-03-20,,59,39,0.00,,
1936-03-21,,65,40,0.00,,
1936-03-22,,64,46,0.03,,
1936-03-23,,56,47,0.03,,
1936-03-24,,61,39,0.00,,
1936-03-25,,58,43,0.78,,
1936-03-26,,55,45,0.02,,
1936-03-27,,59,41,0.00,,
1936-03-28,,62,36,0.05,,
1936-03-29,,69,45,0.26,,
1936-03-30,,65,47,0.00,,
1936-03-31,,67,50,,,
1936-04-01,,66,44,0.00,,
1936-04-02,,70,46,0.00,,
1936-04-03,,65,49,0.02,,
1936-04-04,,60,53,0.60,,
1936-04-05,,56,50,0.16,,
1936-04-06,,58,41,0.12,,
1936-04-07,,50,45,0.62,,
1936-04-08,,51,36,0.03,,
1936-04-09,,63,41,0.15,,
1936-04-10,,67,41,0.24,,
1936-04-11,,56,45,0.43,,
1936-04-12,,48,38,0.85,,
1936-04-13,,43,29,0.02,,
1936-04-14,,59,39,0.00,,
1936-04-15,,62,45,0.00,,
1936-04-16,,47,42,0.00,,
1936-04-17,,49,37,0.00,,
1936-04-18,,49,36,0.00,,
1936-04-19,,55,29,0.00,,
1936-04-20,,60,36,0.18,,
1936-04-21,,59,44,0.48,,
1936-04-22,,57,47,0.03,,
1936-04-23,,49,34,0.00,,
1936-04-24,,52,32,0.02,,
1936-04-25,,62,38,0.00,,
1936-04-26,,71,38,0.46,,
1936-04-27,,49,43,0.25,,
1936-04-28,,49,46,0.00,,
1936-04-29,,51,47,0.45,,
1936-04-30,,50,46,0.53,,
1936-05-01,,54,45,0.00,,
1936-05-02,,59,44,0.00,,
1936-05-03,,65,44,0.00,,
1936-05-04,,72,41,0.00,,
1936-05-05,,76,46,0.00,,
1936-05-06,,71,52,0.00,,
1936-05-07,,72,47,0.12,,
1936-05-08,,74,53,0.00,,
1936-05-09,,73,47,0.00,,
1936-05-10,,62,59,0.00,,
1936-05-11,,65,54,0.00,,
1936-05-12,,65,47,0.00,,
1936-05-13,,67,45,0.00,,
1936-05-14,,71,48,0.00,,
1936-05-15,,77,46,0.00,,
1936-05-16,,79,47,0.04,,
1936-05-17,,79,58,0.11,,
1936-05-18,,80,52,0.00,,
1936-05-19,,74,54,0.26,,
1936-05-20,,64,53,0.00,,
1936-05-21,,62,51,0.02,,
1936-05-22,,53,41,0.16,,
1936-05-23,,62,45,0.00,,
1936-05-24,,71,39,0.00,,
1936-05-25,,74,47,0.00,,
1936-05-26,,74,55,0.00,,
1936-05-27,,74,55,0.00,,
1936-05-28,,70,54,0.00,,
1936-05-29,,66,54,0.09,,
1936-05-30,,62,54,0.75,,
1936-05-31,,62,50,0.00,,
1936-06-01,,64,44,0.00,,
1936-06-02,,68,38,0.19,,
1936-06-03,,55,50,2.11,,
1936-06-04,,54,46,0.32,,
1936-06-05,,58,46,0.09,,
1936-06-06,,53,47,0.15,,
1936-06-07,,68,48,0.00,,
1936-06-08,,67,50,0.00,,
1936-06-09,,70,49,0.00,,
